[2026-01-24 03:31:29,157][root][INFO] - download models from model hub: ms
[2026-01-24 03:31:29,220][root][WARNING] - trust_remote_code: True
[2026-01-24 03:31:49,411][root][INFO] - rank: 0, model is builded.
[2026-01-24 03:31:49,413][root][INFO] - Loading pretrained params from /mnt/d/ML/datasets--litagin--Galgame_Speech_ASR_16kHz/outputs-4000/model.pt
[2026-01-24 03:31:49,418][root][INFO] - ckpt: /mnt/d/ML/datasets--litagin--Galgame_Speech_ASR_16kHz/outputs-4000/model.pt
[2026-01-24 03:32:09,457][root][INFO] - scope_map: ['module.', 'None']
[2026-01-24 03:32:09,458][root][INFO] - excludes: None
[2026-01-24 03:32:09,645][root][INFO] - Loading ckpt: /mnt/d/ML/datasets--litagin--Galgame_Speech_ASR_16kHz/outputs-4000/model.pt, status: <All keys matched successfully>
[2026-01-24 03:32:10,413][root][INFO] - Building VAD model.
[2026-01-24 03:32:10,413][root][INFO] - download models from model hub: ms
[2026-01-24 03:32:11,384][root][WARNING] - trust_remote_code: False
[2026-01-24 03:32:11,387][root][INFO] - Loading pretrained params from /home/vanilla0302/.cache/modelscope/hub/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch/model.pt
[2026-01-24 03:32:11,387][root][INFO] - ckpt: /home/vanilla0302/.cache/modelscope/hub/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch/model.pt
[2026-01-24 03:32:11,390][root][INFO] - scope_map: ['module.', 'None']
[2026-01-24 03:32:11,390][root][INFO] - excludes: None
[2026-01-24 03:32:11,391][root][INFO] - Loading ckpt: /home/vanilla0302/.cache/modelscope/hub/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch/model.pt, status: <All keys matched successfully>
[2026-01-24 03:41:26,968][root][INFO] - decoding, utt: fff614e2511d345ad8b656917d84cd21992b7b6d705e17b568f9d6a8fbab9cd4, empty speech
[2026-01-24 03:41:31,266][root][INFO] - decoding, utt: fff639aeac82e17411868eb9f8a6924978271056ad5a15303b956aae7acc4945, empty speech
[2026-01-24 03:41:31,366][root][INFO] - decoding, utt: fff63f19ead67511ab345164af7c6385479809cd1b69ee1808e3d10692963a0f, empty speech
[2026-01-24 03:42:09,449][root][INFO] - decoding, utt: fff6f43b025787c3dbe496c926ce93e50b9ea65a2f3ec9cd91166aecc41d75f0, empty speech
[2026-01-24 03:42:19,008][root][INFO] - decoding, utt: fff70f971fefbfecbe0021443ebf50dbe8c38c018f037af32f8c9154c032aea2, empty speech
[2026-01-24 03:42:50,431][root][INFO] - decoding, utt: fff7a23bc38bf319c192e798a2162d620b807b43c4edb1891f1bd8590e6f777f, empty speech
[2026-01-24 03:44:26,920][root][INFO] - decoding, utt: fff8e2a9c951eb2cfc7658bc9f8057a27570f8589357fd98d9c3af81836b47c7, empty speech
[2026-01-24 03:44:35,340][root][INFO] - decoding, utt: fff90348e4cf1c5ffa2eaab96d6209bdee68bdf4128a42d0f48da9f51f669795, empty speech
[2026-01-24 03:45:07,667][root][INFO] - decoding, utt: fff99b6e608f03ad45b345d7a8604bae9c17d6fd303f46691fc1ac6c4649f2e9, empty speech
[2026-01-24 03:45:58,691][root][INFO] - decoding, utt: fffa96c33f3fc21d5628a6dcb31baafa300363721d44164901130fd04b62adcb, empty speech
[2026-01-24 03:46:18,773][root][INFO] - decoding, utt: fffae45087bfb7009726d27928847de431124972ecd0946a21abf71d6c7b4c77, empty speech
