[2026-01-24 03:11:33,710][root][INFO] - download models from model hub: ms
[2026-01-24 03:11:34,628][root][WARNING] - trust_remote_code: True
[2026-01-24 03:11:59,735][root][INFO] - rank: 0, model is builded.
[2026-01-24 03:11:59,736][root][INFO] - Loading pretrained params from /home/vanilla0302/.cache/modelscope/hub/models/FunAudioLLM/Fun-ASR-Nano-2512/model.pt
[2026-01-24 03:11:59,749][root][INFO] - ckpt: /home/vanilla0302/.cache/modelscope/hub/models/FunAudioLLM/Fun-ASR-Nano-2512/model.pt
[2026-01-24 03:12:02,476][root][INFO] - scope_map: ['module.', 'None']
[2026-01-24 03:12:02,476][root][INFO] - excludes: None
[2026-01-24 03:12:02,769][root][INFO] - Loading ckpt: /home/vanilla0302/.cache/modelscope/hub/models/FunAudioLLM/Fun-ASR-Nano-2512/model.pt, status: <All keys matched successfully>
[2026-01-24 03:12:04,531][root][INFO] - Building VAD model.
[2026-01-24 03:12:04,531][root][INFO] - download models from model hub: ms
[2026-01-24 03:12:05,469][root][WARNING] - trust_remote_code: False
[2026-01-24 03:12:05,473][root][INFO] - Loading pretrained params from /home/vanilla0302/.cache/modelscope/hub/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch/model.pt
[2026-01-24 03:12:05,473][root][INFO] - ckpt: /home/vanilla0302/.cache/modelscope/hub/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch/model.pt
[2026-01-24 03:12:05,476][root][INFO] - scope_map: ['module.', 'None']
[2026-01-24 03:12:05,476][root][INFO] - excludes: None
[2026-01-24 03:12:05,477][root][INFO] - Loading ckpt: /home/vanilla0302/.cache/modelscope/hub/models/iic/speech_fsmn_vad_zh-cn-16k-common-pytorch/model.pt, status: <All keys matched successfully>
[2026-01-24 03:20:29,833][root][INFO] - decoding, utt: fff614e2511d345ad8b656917d84cd21992b7b6d705e17b568f9d6a8fbab9cd4, empty speech
[2026-01-24 03:20:33,422][root][INFO] - decoding, utt: fff639aeac82e17411868eb9f8a6924978271056ad5a15303b956aae7acc4945, empty speech
[2026-01-24 03:20:33,508][root][INFO] - decoding, utt: fff63f19ead67511ab345164af7c6385479809cd1b69ee1808e3d10692963a0f, empty speech
[2026-01-24 03:21:22,610][root][INFO] - decoding, utt: fff6f43b025787c3dbe496c926ce93e50b9ea65a2f3ec9cd91166aecc41d75f0, empty speech
[2026-01-24 03:21:30,122][root][INFO] - decoding, utt: fff70f971fefbfecbe0021443ebf50dbe8c38c018f037af32f8c9154c032aea2, empty speech
[2026-01-24 03:21:54,521][root][INFO] - decoding, utt: fff7a23bc38bf319c192e798a2162d620b807b43c4edb1891f1bd8590e6f777f, empty speech
[2026-01-24 03:23:07,085][root][INFO] - decoding, utt: fff8e2a9c951eb2cfc7658bc9f8057a27570f8589357fd98d9c3af81836b47c7, empty speech
[2026-01-24 03:23:14,730][root][INFO] - decoding, utt: fff90348e4cf1c5ffa2eaab96d6209bdee68bdf4128a42d0f48da9f51f669795, empty speech
[2026-01-24 03:23:44,204][root][INFO] - decoding, utt: fff99b6e608f03ad45b345d7a8604bae9c17d6fd303f46691fc1ac6c4649f2e9, empty speech
[2026-01-24 03:24:32,975][root][INFO] - decoding, utt: fffa96c33f3fc21d5628a6dcb31baafa300363721d44164901130fd04b62adcb, empty speech
[2026-01-24 03:24:52,548][root][INFO] - decoding, utt: fffae45087bfb7009726d27928847de431124972ecd0946a21abf71d6c7b4c77, empty speech
[2026-01-24 03:25:08,524][root][INFO] - decoding, utt: fffb192a08b529b55bb5963a3545edea8c44d03c83d3da6e1cf5ec7fd23e92e8, empty speech
